CouncilID,Facility,Long,Lat
1,"The Arch Centre, Ballarat High School Alfredton",143.816944858518,-37.5540319071815
2,Eastwood Leisure Complex Ballarat,143.86228061418,-37.5653286652007
3,Ballarat East Recreation Centre Ballarat East,143.892782985543,-37.5602470603602
4,Buninyong Sports Centre Buninyong,143.886064689129,-37.653405279848
5,Delacombe Recreation Centre Delacombe,143.817585052261,-37.5837883600791
6,Ballarat Netball Centre Golden Point,143.866350847685,-37.5677560851113
7,Damascus College Mt Clear,143.869159530745,-37.6112702136082
8,Ballarat Basketball Centre (Minerdome) Wendouree,143.841241806232,-37.5281304034633
9,Wendouree Sports and Events Centre Wendouree,143.843603334224,-37.5351422632759
10,Ballarat Badminton Centre Wendouree,143.841871025385,-37.5275294926728
11,Ballarat Table Tennis Centre Wendouree,143.841591199261,-37.5248104955216
